code3,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,3,,,1,1,1,1,0,,,,,1,0,0,1,*
TZA,3,4,12,34,14,,2,2,1,,,4,2,3,22,87,86
,2,,8,5,10,,,,,,,,,,,,
ZAF,1,1,3,,2,,1,1,0,1,1,1,0,4,93,313,322
BDI,4,15,24,31,10,3,,0,18,17,17,7,4,10,12,10,13
COD,6,63,90,94,89,4,,0,60,71,95,64,59,57,91,91,32
ETH,4,12,19,21,20,,,0,6,10,4,7,4,1,1,0,0
KEN,2,6,8,5,5,1,,,1,1,1,0,1,1,2,1,*
NAM,4,138,166,166,160,19,,0,,,,21,5,6,7,10,11
SDN,4,23,19,20,19,,,,,2,3,7,6,0,0,0,0
SOM,33,140,179,198,186,13,,4,5,37,25,58,78,45,42,10,10
TZA,1,14,,,,,,,,,,,,,,,
UGA,6,35,45,46,47,,,0,21,20,22,2,4,3,2,0,0
ZMB,1,1,1,1,1,,,,,,,,,,,,
ZWE,2,8,41,67,81,3,,0,55,39,72,74,49,45,43,12,12
AGO,12,18,18,18,20,20,18,18,1,1,1,0,,,0,0,0
COD,1253,2663,3259,2000,1421,956,709,757,908,783,783,1293,1362,1379,334,273,246
COG,108,115,116,80,76,75,74,78,23,24,24,1,1,1,0,0,6
SDN,86,380,1414,915,691,369,403,408,141,143,143,445,470,478,3,1,0
SEN,19,19,19,,,,,,,,,,,,,,*
TCD,191,371,406,235,385,414,627,625,322,213,213,669,731,737,38,31,18
,66,66,71,94,66,,,,,,,,,,,,
AFG,308,406,305,175,153,224,294,405,613,690,592,450,411,385,190,368,456
AGO,589,724,589,278,53,28,18,15,10,23,23,10,21,20,13,9,43
ALB,595,1006,1140,808,458,377,297,372,659,611,507,443,579,431,80,135,211
