code3,typeName,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AUT,Other Herbicides,,,,,,,,,,,,,,,,,,,,,,732.5,757.8,456.6,612
AUT,Inorganics,,,,,,,,,,,,,,,,,,,,,,750.3,911.3,726.9,861.2
AUT,Dithiocarbamates,,,,,,,,,,,,,,,,,,,,,,196.4,174.4,193.9,202.5
AUT,Benzimidazoles,,,,,,,,,,,,,,,,,,,,,,3.9,2.2,1.1,8.3
AUT,"Triazoles, Diazoles",,,,,,,,,,,,,,,,,,,,,,71.3,83.7,83.9,127.7
AUT,"Diazines, Morpholines",,,,,,,,,,,,,,,,,,,,,,31,27.2,27,18.2
AUT,Other Fungicides,,,,,,,,,,,880.1,738.4,707,1084.3,822.9,929,736.1,553.9,1120.9,917.4,849.3,501.6,439.4,464.2,427.3
AUT,Plant Growth Regulators,40,44,75,64,41,17,14,10,12,5,9.1,8.6,10.8,10.4,6.6,9.5,16.3,30.4,39.8,47.6,48.5,59.4,67.4,45.4,53.5
AUT,Other Pesticides nes,,,,,,,,0.6,0.3,0.6,10.2,8.5,15.2,12.5,16.6,21.2,20.6,18,21.4,24.1,22.6,20.2,23.5,42.9,21.2
AUT,Pesticides,4246,4487,3897,3984,3619,3402,3565,3689.6,3340.3,3418.6,3563.2,3132.2,3079.2,3384.9,3301.7,3404,3415.7,3526.6,4246.7,3531.8,3692.4,3441.5,3563.3,3108.6,3380.7
AUT,Insecticides,285,157,143,141,137,123,98,100,87,90,104.5,99,97.3,108.2,119.1,144.1,130.9,188.1,145.8,164.8,155.6,293,280.3,282.5,266.9
AUT,Mineral Oils,292,275,332,325,329,245,219,292,164,269,229.5,243.3,196.1,112,138.6,118.8,160.6,162.2,198.7,192.3,191.8,8.3,8.2,12.7,17.7
AUT,Herbicides,1945,2167,1859,1873,1549,1607,1536,1601,1603,1659,1608.9,1435.5,1458.5,1434.2,1532.2,1464.7,1650.9,1800,1878.9,1391.7,1588.6,1505.2,1544.5,1227.1,1375.8
AUT,Fungicides&Bactericides,1683,1843,1483,1580,1560,1409,1697,1685,1473,1393,1598.4,1335.7,1299.9,1706.4,1487.8,1644.6,1434.3,1327,1960.8,1710.1,1684.6,1554.5,1638.2,1497,1645.2
AUT,Plant Growth Regulators,40,44,75,64,41,17,14,10,12,5,9.1,8.6,10.8,10.4,6.6,9.5,16.3,30.4,39.8,47.6,48.5,59.4,67.4,45.4,53.5
AUT,Rodenticides,1,1,5,1,3,1,1,1,1,2,2.6,1.6,1.4,1.2,0.8,1.1,2.1,0.9,1.3,1.2,0.7,0.9,1.2,1,0.4
AUT,Other Pesticides nes,,,,,,,,0.6,0.3,0.6,10.2,8.5,15.2,12.5,16.6,21.2,20.6,18,21.4,24.1,22.6,20.2,23.5,42.9,21.2
AZE,Organo-Phosphates,,,,,,,,,,,,,,,,,,28.59,61.56,60.26,44.8,48,52.1,49.01,52.4
AZE,Carbamates Insecticides,,,,,,,,,,,,,,,,,,0.41,0.73,1.24,0.72,,,,
AZE,Pyrethroids,,,,,,,,,,,,,,,,,,5.15,19.97,15.7,22.96,22,38.3,42.8,43.6
AZE,Other Insecticides,,,,,,,,,,,,,,,,,,9.5,23.24,6.92,8.72,62,72.1,56.49,72.8
AZE,Mineral Oils,,,,,,,,,,,,,,,,,,,,,,6.7,9.61,12.73,10.13
AZE,Phenoxy Hormone Products,,,,,,,,,,,,,,,,,,,,,,28.7,28.91,28.98,28.98
AZE,Dinitroanilines,,,,,,,,,,,,,,,,,,,,,,0.6,1.32,1.22,1.24
AZE,Urea derivates,,,,,,,,,,,,,,,,,,,,,,0.2,0.87,0.43,0.65
AZE,Sulfonyl Ureas,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,
AZE,Other Herbicides,,,,,,,,,,,,,,,,,,5.05,10.91,20.34,82.54,6.8,27.3,27.31,25.94
AZE,Inorganics,,,,,,,,,,,,,,,,,,14.34,49.69,128.98,60.27,166.8,168.7,168.1,169.2
AZE,Dithiocarbamates,,,,,,,,,,,,,,,,,,14.32,61.72,41.29,81.18,79.3,82.3,78.4,83.1
AZE,Benzimidazoles,,,,,,,,,,,,,,,,,,1.44,1.33,0.69,1.75,1.6,2.13,1.84,1.97
AZE,"Triazoles, Diazoles",,,,,,,,,,,,,,,,,,11.65,1.45,3.09,2.29,3.3,4.31,3.83,4.38
AZE,Other Fungicides,,,,,,,,,,,,,,,,,,48.82,16.87,9.06,10.8,14.3,11.86,14.63,14.95
AZE,Dithiocarbamates-SeedTrF,,,,,,,,,,,,,,,,,,,0.02,0.17,0.32,0.4,0.4,0.36,0.37
AZE,Benzimidazoles-SeedTrF,,,,,,,,,,,,,,,,,,,0.06,,0.05,0.1,0.1,0.11,0.12
AZE,Triazoles diazoles-SdTrF,,,,,,,,,,,,,,,,,,4.08,0.28,0.26,2.02,0.8,1.2,1.87,1.92
AZE,Others-SeedTreatFung,,,,,,,,,,,,,,,,,,,0.12,0.02,,0.04,0.5,0.12,0.71
AZE,Plant Growth Regulators,,,,,,,,,,,,,,,,,,0.05,0.7,18.29,0,0.9,1.31,0.34,18.91
AZE,Anticoagulants,,,,,,,,,,,,,,,,,,,,0.01,0,0,,,0.02
AZE,Other Rodenticides,,,,,,,,,,,,,,,,,,5.28,14.34,9.86,15.43,19.1,13.02,1.23,0.45
AZE,Pesticides,,,,,,,,,,,,,,,,,,148.68,262.99,316.18,333.85,461.65,516.35,489.8,531.84
AZE,Insecticides,,,,,,,,,,,,,,,,,,43.65,105.5,84.12,77.2,132,162.5,148.3,168.8
AZE,Mineral Oils,,,,,,,,,,,,,,,,,,,,,,6.7,9.61,12.73,10.13
AZE,Herbicides,,,,,,,,,,,,,,,,,,5.05,10.91,20.34,82.54,36.31,58.41,57.94,56.81
AZE,Fungicides&Bactericides,,,,,,,,,,,,,,,,,,90.57,131.06,183.11,156.29,265.3,269.3,266.8,273.6
AZE,Seed Treatm Fungicides,,,,,,,,,,,,,,,,,,4.08,0.48,0.45,2.39,1.34,2.2,2.46,3.12
AZE,Plant Growth Regulators,,,,,,,,,,,,,,,,,,0.05,0.7,18.29,0,0.9,1.31,0.34,18.91
AZE,Rodenticides,,,,,,,,,,,,,,,,,,5.28,14.34,9.87,15.43,19.1,13.02,1.23,0.47
BHS,Plant Growth Regulators,,,,,,,,,,,28.93,33.29,39.63,33.91,29.67,54.2,65.43,,,,,,,,
BHS,Other Pesticides nes,,,,,,,,,,,13.99,0.94,9.56,4.46,4.99,6.34,5.26,,,,,,,,
BHS,Pesticides,,,,,,,,,,,1184.89,918.78,937.91,803.18,722.52,859.11,753.68,,,,,,,,
BHS,Insecticides,,,,,,,,,,,806.56,574.2,673.74,617.13,604.98,662.69,575.06,,,,,,,,
BHS,Herbicides,,,,,,,,,,,39.56,33.29,96.31,72.17,29,28.02,22.28,,,,,,,,
BHS,Fungicides&Bactericides,,,,,,,,,,,285.26,261.23,102.46,60.69,37.77,76.27,56.38,,,,,,,,
BHS,Plant Growth Regulators,,,,,,,,,,,28.93,33.29,39.63,33.91,29.67,54.2,65.43,,,,,,,,
BHS,Rodenticides,,,,,,,,,,,10.59,15.83,16.21,14.82,16.11,31.59,29.27,,,,,,,,
BHS,Other Pesticides nes,,,,,,,,,,,13.99,0.94,9.56,4.46,4.99,6.34,5.26,,,,,,,,
BHR,Organo-Phosphates,,,,4,14,4,4,,5,6,3,2,,2.04,2.23,5.24,4.01,2.7,,,,,,,
BHR,Carbamates Insecticides,,,,2,5,1,2,,2,2,0.25,1,,0.36,0.93,0.33,1.97,1.53,,,,,,,
BHR,Pyrethroids,,,,1,3,1,1,,2,2,2,1,,1.21,3.24,2.56,1.09,3.88,,,,,,,
BHR,Botanic.Produc&Biologic.,,,,,,,,,,,0.3,1,,0.35,1.35,0.58,1.12,0.48,,,,,,,
BHR,Other Insecticides,,,,1,4,1,1,,,,0.5,1,,0.56,1.5,1.41,0.9,1.99,,,,,,,
BHR,Mineral Oils,,,,,,,,,,,,,,,,0.02,0.64,0.16,,,,,,,
BHR,Phenoxy Hormone Products,,,,1.18,0.83,1,0.63,,,,,,,0.09,0.11,0.25,0.24,0.71,,,,,,,
BHR,Dinitroanilines,,,,0.57,0.4,0.45,0.3,,,,,,,0.35,0.83,1.08,0.6,1.28,,,,,,,
BHR,Bipiridils,,,,1.19,0.85,1.07,0.65,,,,,,,,,,,,,,,,,,
BHR,Other Herbicides,,,,0.11,0.78,0.94,0.58,,1,1,2,2,,0.33,0.84,0.19,0.36,2,,,,,,,
BHR,Inorganics,,,,2,1,1,1,,,,0.25,0.2,,0.11,0.58,0.18,0.27,0.61,,,,,,,
BHR,Dithiocarbamates,,,,,,,,,,,,0.75,,,,,,,,,,,,,
BHR,Benzimidazoles,,,,,,,,,1,1.5,,,,0.37,0.37,0.49,0.6,0.53,,,,,,,
BHR,"Diazines, Morpholines",,,,,,,,,,,,,,,0.01,0.17,0.25,0.15,,,,,,,
